station_name,station_index,station_latitude,station_longitude,venue_name,venue_id,venue_categories_str,venue_latitude,venue_longitude,venue_address,distance_from_station
Chilco & Barclay,0,49.291909,-123.140713,Blenz Coffee,4aa97278f964a520b25320e3,Coffee Shop,49.290251,-123.13747,935 Denman St,298
Chilco & Barclay,0,49.291909,-123.140713,Haro Street,4d5474a0cc65a1434d2f425e,Neighborhood,49.29120950215441,-123.13789685179339,,218
Chilco & Barclay,0,49.291909,-123.140713,RSVP Finish Line,520ff63111d2fbdd436c4aaf,Plaza,49.289984449873465,-123.14144253988059,,220
Chilco & Barclay,0,49.291909,-123.140713,Ted and Mary Greig Rhododendron Garden,4bd4c2b3637ba593fd68f570,Garden,49.29359173997209,-123.1428060630705,Stanley Park,240
Chilco & Barclay,0,49.291909,-123.140713,Jungle Room,6455be524d616826ab184696,Bar,49.28998982555156,-123.13811696507882,961 Denman St. P,284
St George & Broadway,1,49.262321,-123.09306,Kim's Mart,4cb12e67c5e6a1cdbbf3dbf6,Grocery Store,49.262641739860726,-123.09254852041033,591 E Broadway,51
St George & Broadway,1,49.262321,-123.09306,The Lido,53aa2de5498e191dfd681c59,Bar,49.26229662675265,-123.09227585778925,518 E Broadway,56
St George & Broadway,1,49.262321,-123.09306,Teamsters Union Local 155,4c0eac4e98102d7fbb09e406,Structure,49.262266240007975,-123.09348998889907,490 East Broadway,31
St George & Broadway,1,49.262321,-123.09306,Paper Crane Coffee Company,5745e458498ed0532a5b6849,Coffee Shop,49.26267249926564,-123.09222667442903,531 Broadway E,71
St George & Broadway,1,49.262321,-123.09306,Carp,535085f4498efa8f4fc0285d,Sushi Restaurant,49.26231346969098,-123.09568406609495,2516 Prince Edward Street,190
St George & Broadway,1,49.262321,-123.09306,Vancouver audio speaker Clinic,4e21f713628469a5741b9eab,Electronics Store,49.26222570488037,-123.0951088152097,2521 Guelph St,148
St George & Broadway,1,49.262321,-123.09306,Harkness & Co. Butchers,50f1d7c1e4b0d4f0debadf07,Butcher,49.26229546049348,-123.08959896278739,666 E. Broadway,251
St George & Broadway,1,49.262321,-123.09306,Pizzeria Barbarella,4efbdec10e014519c62d8889,Pizzeria,49.262476473543806,-123.0896917300743,654 E Broadway,244
