station_index,distance_from_station,total_slots,total_venues,Banks & Shops,Landmarks & Museums,Other,Restaurants & Bars
0,252.0,18,5,0,0,3,2
1,170.3846153846154,14,13,3,0,3,7
2,200.8181818181818,14,33,12,1,1,19
3,132.94,0,50,8,3,11,28
4,214.875,14,8,2,1,4,1
5,215.20689655172413,18,29,3,1,23,2
6,237.6,20,20,7,1,2,10
7,181.6969696969697,20,33,8,1,6,18
8,219.27586206896552,22,29,11,1,12,5
9,224.54545454545453,16,11,0,1,2,8
10,154.24242424242425,14,33,11,0,8,14
11,129.92307692307693,18,13,4,0,5,4
12,155.93333333333334,16,30,6,1,6,17
13,217.28571428571428,18,7,1,1,5,0
14,129.92,21,50,14,2,11,23
15,149.34,26,50,14,2,5,29
16,155.1818181818182,14,22,6,2,3,11
17,178.26666666666668,20,30,4,0,9,17
18,76.66666666666667,12,3,1,0,0,2
19,159.92,18,50,6,4,10,30
20,175.64,20,50,5,3,13,29
21,80.56,25,50,11,0,7,32
22,145.16,14,50,19,2,8,21
23,210.21428571428572,18,14,1,2,10,1
24,261.5483870967742,14,31,9,2,4,16
25,178.36363636363637,28,44,6,1,19,18
26,215.11111111111111,20,9,0,1,2,6
27,136.125,16,24,5,0,6,13
28,170.9787234042553,16,47,23,1,6,17
29,196.42857142857142,0,7,1,1,1,4
30,189.98,18,50,11,4,8,27
31,161.57692307692307,18,26,9,0,8,9
32,131.82,18,50,10,1,7,32
33,232.28571428571428,14,7,0,1,4,2
34,172.66666666666666,12,9,1,1,4,3
35,224.0,14,15,1,3,6,5
36,124.02,10,50,12,1,3,34
37,186.53846153846155,26,13,0,4,1,8
38,165.46,24,50,10,0,10,30
39,158.19230769230768,18,26,9,0,6,11
40,237.21428571428572,14,14,2,1,5,6
41,241.5,14,12,4,1,3,4
42,166.5,14,2,0,0,2,0
43,185.8,16,15,0,5,10,0
44,242.0212765957447,16,47,11,0,14,22
45,168.82142857142858,17,28,1,5,20,2
46,115.46,16,50,6,1,8,35
47,169.26,18,50,19,0,7,24
48,150.96,22,50,11,0,7,32
49,123.76923076923077,22,26,2,1,7,16
50,94.65517241379311,18,29,6,0,4,19
51,239.0,20,33,8,0,3,22
52,191.7037037037037,20,27,6,1,7,13
53,178.76,18,50,10,0,3,37
54,202.74,26,50,5,1,4,40
55,279.3333333333333,18,3,0,0,2,1
56,237.54545454545453,22,33,6,3,3,21
57,212.75,14,8,0,2,0,6
58,215.08333333333334,16,12,4,1,1,6
59,159.09302325581396,20,43,9,2,3,29
60,206.25,16,4,1,1,0,2
61,173.4,14,20,6,0,6,8
62,247.32608695652175,22,46,6,2,5,33
63,218.66666666666666,12,3,0,0,1,2
64,207.36363636363637,18,11,3,1,2,5
65,162.6,38,5,0,0,3,2
66,265.73333333333335,14,15,2,0,4,9
67,198.54,16,50,14,0,6,30
68,173.76,24,50,3,0,10,37
69,193.56,20,50,11,1,13,25
70,203.41666666666666,22,36,6,0,12,18
71,212.0,16,2,0,1,0,1
72,193.30769230769232,27,13,1,1,6,5
73,176.48,20,50,11,0,3,36
74,254.07142857142858,16,14,2,0,1,11
75,270.6842105263158,16,19,4,1,3,11
76,89.06666666666666,18,15,3,0,6,6
77,188.0,20,8,3,0,0,5
78,139.71428571428572,40,7,1,0,5,1
79,210.34782608695653,20,23,2,1,12,8
80,199.25,16,24,9,0,5,10
81,178.9090909090909,20,11,1,3,4,3
82,180.06666666666666,16,15,2,1,5,7
83,231.1860465116279,30,43,13,1,0,29
