station_name,station_index,station_latitude,station_longitude,total_slots,venue_name,venue_id,venue_categories_str,venue_latitude,venue_longitude,venue_address,distance_from_station,venue_category_group
Chilco & Barclay,0,49.291909,-123.140713,18,Blenz Coffee,4aa97278f964a520b25320e3,Coffee Shop,49.290251,-123.13747,935 Denman St,298,Restaurants & Bars
Chilco & Barclay,0,49.291909,-123.140713,18,Haro Street,4d5474a0cc65a1434d2f425e,Neighborhood,49.29120950215441,-123.1378968517934,,218,Other
Chilco & Barclay,0,49.291909,-123.140713,18,RSVP Finish Line,520ff63111d2fbdd436c4aaf,Plaza,49.289984449873465,-123.1414425398806,,220,Other
Chilco & Barclay,0,49.291909,-123.140713,18,Ted and Mary Greig Rhododendron Garden,4bd4c2b3637ba593fd68f570,Garden,49.29359173997209,-123.1428060630705,Stanley Park,240,Other
Chilco & Barclay,0,49.291909,-123.140713,18,Jungle Room,6455be524d616826ab184696,Bar,49.28998982555156,-123.13811696507882,961 Denman St. P,284,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,Kim's Mart,4cb12e67c5e6a1cdbbf3dbf6,Grocery Store,49.262641739860726,-123.09254852041032,591 E Broadway,51,Banks & Shops
St George & Broadway,1,49.262321,-123.09306,14,The Lido,53aa2de5498e191dfd681c59,Bar,49.26229662675265,-123.09227585778925,518 E Broadway,56,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,Teamsters Union Local 155,4c0eac4e98102d7fbb09e406,Structure,49.262266240007975,-123.09348998889908,490 East Broadway,31,Other
St George & Broadway,1,49.262321,-123.09306,14,Paper Crane Coffee Company,5745e458498ed0532a5b6849,Coffee Shop,49.26267249926564,-123.09222667442904,531 Broadway E,71,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,Carp,535085f4498efa8f4fc0285d,Sushi Restaurant,49.26231346969098,-123.09568406609496,2516 Prince Edward Street,190,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,Vancouver audio speaker Clinic,4e21f713628469a5741b9eab,Electronics Store,49.26222570488037,-123.0951088152097,2521 Guelph St,148,Banks & Shops
St George & Broadway,1,49.262321,-123.09306,14,Harkness & Co. Butchers,50f1d7c1e4b0d4f0debadf07,Butcher,49.26229546049348,-123.0895989627874,666 E. Broadway,251,Other
St George & Broadway,1,49.262321,-123.09306,14,Pizzeria Barbarella,4efbdec10e014519c62d8889,Pizzeria,49.262476473543806,-123.0896917300743,654 E Broadway,244,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,Subway,4c2527ceb7b8a5935fbf3de8,"Sandwich Spot, Fast Food Restaurant",49.26263046311194,-123.09027633756692,8-615 E Broadway,204,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,Thai Son,518960a9498ea7adf1441495,"Vietnamese Restaurant, Noodle Restaurant",49.26287272793801,-123.09671107140775,373 East Broadway's,271,Restaurants & Bars
St George & Broadway,1,49.262321,-123.09306,14,BNS Cafe,56f0c4ce498e670546445e0a,Café,49.26279513755362,-123.090046975561,691 East Broadway,224,Other
St George & Broadway,1,49.262321,-123.09306,14,Main Street Farmer's Market,53b059b1498e6b0d6e9beb5d,Market,49.26380644691134,-123.09499981759448,2300 Guelph St,216,Banks & Shops
St George & Broadway,1,49.262321,-123.09306,14,Ba Le,5ae52e0786bc49002cd8ee1e,"Vietnamese Restaurant, Sandwich Spot",49.26272797877069,-123.08955457626858,691 E Broadway,258,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Britannia Arena,4ad9f5e1f964a520671c21e3,Sports and Recreation,49.27581192835439,-123.07062601413644,1661 Napier st,90,Other
Britannia Parking Lot,2,49.275882,-123.071865,14,East Vancouver Brewing Co.,59f2476c65cdf8641b5f85f7,Brewery,49.27686258235636,-123.07128299608272,1675 Venables Street,116,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Uprising Breads Bakery,4ab67bd3f964a5205c7720e3,Bakery,49.276774734922455,-123.07070758341716,1697 Venables St,129,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,The Downlow Chicken Shack,5b242d9bc876c8002c2db876,"Fried Chicken Joint, American Restaurant",49.27637777639485,-123.06978143012144,905 Commercial Drive,160,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Kin Kao,54d173b2498e8535cfe052f3,Thai Restaurant,49.27630049894165,-123.0696937454514,903 Commercial Dr,164,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Sunrise Pizza & Steak House,4ab7c9c8f964a520cb7a20e3,Pizzeria,49.27590404651914,-123.06966016288172,949 Commercial Dr,159,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Eternal Abundance,4cddb9c1c4f6a35d0b36c56c,Vegan and Vegetarian Restaurant,49.2754356025942,-123.06978275808532,1025 COMMERCIAL Dr,158,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Bump n Grind Specialty Coffee,4aa82cd4f964a520d44f20e3,Coffee Shop,49.276378,-123.069391,916 Commercial Dr,187,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,The Lunch Lady,5f00f72289dce8008504b1fa,Vietnamese Restaurant,49.27497192659809,-123.0692566580991,1046 Commercial Drive,214,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Deserts,4ad0dc41f964a52082da20e3,Indian Restaurant,49.27637777639485,-123.06978143012144,905 Commercial Dr.,160,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Commercial Drive Licorice Parlour,5070da69e4b015d04ff82d13,Candy Store,49.27565156881698,-123.06931422446276,1002 Commercial Dr.,186,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,WindJammer,4f0f9ae2e4b0297e54688b59,Fish and Chips Shop,49.275981324586645,-123.0697478471029,937 Commercial Drive,153,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Sweet Cherubim,4ce833c6fe90a35d053c410e,"Grocery Store, Café",49.27463695825924,-123.06954129593323,1105 Commercial Dr.,218,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Moja Coffee,555df6c9498ec05757a9ef70,Coffee Shop,49.27470938305116,-123.06931555791446,1102 Commercial Drive,226,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Pizza Garden,4aecb34ff964a52060ca21e3,Pizzeria,49.27512119515171,-123.06918816362447,1042 Commercial Dr.,211,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Sula Indian Restaurant,5256c3bf498e4a720085f2cf,Indian Restaurant,49.27444154690829,-123.06913059866834,1128 COMMERCIAL Dr,254,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Biercraft Tap And Tapas,4aa80271f964a520af4e20e3,"Tapas Restaurant, Beer Bar",49.27392802060152,-123.06969766764506,1191 Commercial Dr.,268,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Dilly Dally,4cbb7e0a7148f04ddab0e2ab,Toy Store,49.27426686463952,-123.06976489612605,1161 Commercial Dr,235,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Womyns Ware,4bce1b30937ca5933df0ad92,Miscellaneous Store,49.276784801625794,-123.0703027427511,896 Commercial Drive,151,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Lime Japanese Cuisine,4aa7f9fff964a520684e20e3,Japanese Restaurant,49.27560551226839,-123.06979715074064,1130 Commercial Dr,153,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Bomber Brewing,52ae14c511d2ab1eae1b6e61,"Brewery, Bar",49.27759234233072,-123.07465468201404,1488 Adanac St,277,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Grandview Park,4ab533e0f964a520397320e3,"Park, Playground",49.27348782226023,-123.070227971615,1657 Charles St,291,Landmarks & Museums
Britannia Parking Lot,2,49.275882,-123.071865,14,Food Stop,4c92a242f600236a49c1be32,Food and Beverage Retail,49.2765270420438,-123.06971293563748,901 Commercial Dr,171,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Wander,4d36206fb5936dcb993defb8,Furniture and Home Store,49.27408636868043,-123.069262789322,1146 Commercial Dr.,274,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Havana,4aa7350bf964a520464c20e3,"Cuban Restaurant, Art Gallery",49.2736852934453,-123.06948003021796,1212 COMMERCIAL Dr,299,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Bosa Foods,55eb388b498ea54db25b3868,Market,49.275878114566126,-123.06933341346335,,183,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Britannia Sushi,4b71d2caf964a520905e2de3,Sushi Restaurant,49.2755382956317,-123.0693046300024,1016 Commercial Dr.,189,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Kali,4b5ceba9f964a520d74a29e3,Furniture and Home Store,49.27565156881698,-123.06931422446276,1000 Commercial Drive,186,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Robin's Pharmacy Ltd,4bc52df5693695218ad48388,Pharmacy,49.27648046926701,-123.06930329640824,908 Commercial Dr,197,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Choices Markets,5635d50c498e966fc8ac8d7f,Grocery Store,49.27475595923671,-123.06972518806228,1045 Commercial Dr,199,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Urban Empire,4c2d0b67e116e21eede98d60,Gift Store,49.27470938305116,-123.06931555791446,1108 Commercial Drive,226,Banks & Shops
Britannia Parking Lot,2,49.275882,-123.071865,14,Taiyo Sushi,4bfc3b7bb5cd2d7f4c4431fb,Sushi Restaurant,49.274096951344696,-123.06975050377692,1179 Commercial Dr.,250,Restaurants & Bars
Britannia Parking Lot,2,49.275882,-123.071865,14,Puff East Side,528fe4d2498eda9d142c5dee,Smoke Shop,49.27378782683724,-123.06939977587872,1204 Commercial Drive,293,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,A-maze-ing Laughter by Yue Minjun,4c1823da834e2d7f0a812880,"Sculpture Garden, Public Art",49.28760167757351,-123.14192788963076,1800 Morton Ave,49,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Sylvia's Bar,4c773251f2473704719c65eb,Bar,49.28855882126698,-123.14261840208329,1154 Gilford St,68,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Marble Slab Creamery,4abbf55cf964a520ae8520e3,"Ice Cream Parlor, Dessert Shop",49.2874803409208,-123.14158539248946,1184 Denman Street,72,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Won More Szechuan Cuisine,4b946504f964a520947734e3,"Szechuan Restaurant, Chinese Restaurant",49.28732892385232,-123.14145853436418,201 - 1184 Denman St.,92,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Mediterranean Grill,4ac6a6dff964a520a5b520e3,"Greek Restaurant, Middle Eastern Restaurant",49.28784722950074,-123.14106463767676,1152 Denman St,80,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Bayside Lounge,4abef83df964a520a39020e3,Lounge,49.28727770892859,-123.14170035110452,1755 DAVIE St,89,Other
Morton & Denman,3,49.28803,-123.142135,0,España Restaurant,50527ea7e4b0588850a3fbab,Spanish Restaurant,49.288019,-123.140467,1118 Denman St.,120,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Starbucks,4acfe023f964a52099d620e3,Coffee Shop,49.287257,-123.141227,1795 Davie St,108,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Beach Bay Café and Patio,556bba19498e194e658f529e,Café,49.2878178398575,-123.1414192746793,1193 Denman Street,56,Other
Morton & Denman,3,49.28803,-123.142135,0,Babylon Cafe,4abad180f964a520108320e3,Falafel Restaurant,49.28769436218209,-123.14092198373142,1156 Denman Street,95,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Delany's Coffee House,4ad008e2f964a5205fd720e3,Coffee Shop,49.28819507398981,-123.14043333237312,1105 Denman St.,124,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Morton Park,520ece2611d2d4c4bfd3dd62,Park,49.28762223187683,-123.14197036395474,1800 Morton Ave,46,Landmarks & Museums
Morton & Denman,3,49.28803,-123.142135,0,The Three Brits Public House,4afa7953f964a520ec1722e3,"Pub, Restaurant",49.28712958454752,-123.14187295139207,1780 Davie St.,101,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Cactus Club Cafe,4d3a00006de7721eed15ea49,"New American Restaurant, Cocktail Bar",49.28675474926812,-123.14279589778042,1790 BEACH Ave,149,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Shamrock Alley,51b3e9fd498edc9cb202bada,Pub,49.28728776443572,-123.14129277174088,1184 Denman St,102,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Hot Dog Stand,4c9a745880958cfa070143d4,Fast Food Restaurant,49.287596452638425,-123.14253599154654,,56,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,CRAFT Beer Market English Bay,604859d906d2a567129f63d3,Beer Bar,49.28662894226064,-123.1422097892335,1795 Beach Avenue,155,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,English Bay Beach,4bcbdf5268f976b049e86183,"Beach, Scenic Lookout",49.28661337371541,-123.14283944417532,Beach Ave,165,Other
Morton & Denman,3,49.28803,-123.142135,0,Papi’s Seafood And Osyter Bar,5d0598764a7aae002cadd632,Seafood Restaurant,49.28779726043526,-123.14133639285126,,63,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,The Park at English Bay,4fa9855fd5fbb674a8873b8a,"Pub, Snack Place",49.28690459270856,-123.1412786503714,1755 Davie Street,139,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Zeitoon Persian Restaurant,503930c5e4b05a7a7146be85,Persian Restaurant,49.28796715630575,-123.1404586163148,1795 Pendrell Street,121,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Hook Restaurant,597418f115173e2ac2644b47,Seafood Restaurant,49.28692232313679,-123.14182931676017,1210 Denman St,125,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,George Cunningham Memorial Sundial,51aa3d29498ed9fd87d6d9f3,Sculpture Garden,49.28744720003965,-123.14260432987088,Beach Ave.,73,Other
Morton & Denman,3,49.28803,-123.142135,0,Kimprints,4caf9e401168a09362c72323,"Art Gallery, Gift Store",49.2878127118421,-123.141175475908,1179 Denman St,73,Landmarks & Museums
Morton & Denman,3,49.28803,-123.142135,0,English Bay Bike Rentals,4bc3a0e7461576b022ed7e32,Bicycle Store,49.28672165285054,-123.1412443044783,1754 Davie St,159,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,"English Bay ""Grass Area""",51edcecd498e66ca83d9a3ac,Park,49.2886514621254,-123.14254521514684,,75,Landmarks & Museums
Morton & Denman,3,49.28803,-123.142135,0,Legendary Noodle,4abfcaf5f964a5203c9220e3,"Noodle Restaurant, Asian Restaurant",49.288493,-123.139766,1074 Denman St,179,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,D'oro Gelato e Caffè,541a612e498e554b587e4acb,"Ice Cream Parlor, Café, Dessert Shop",49.28827597821932,-123.13991720772545,1094 Denman Street,163,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Akira Sushi,4b66044ff964a520a40e2be3,Sushi Restaurant,49.2884924108981,-123.14010064403617,1060 Denman St,156,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Fatburger,4aa6be85f964a520e64a20e3,Burger Joint,49.28834892832925,-123.14058098235812,1101 Denman Street,118,Other
Morton & Denman,3,49.28803,-123.142135,0,Care Point Medical Centre,4bf6f33a5ec320a1831686d3,Doctor's Office,49.28767378230308,-123.1408391019115,1175 Denman St,101,Other
Morton & Denman,3,49.28803,-123.142135,0,Falafel King,4be8674c947820a1a3dcb4db,"Falafel Restaurant, Middle Eastern Restaurant",49.28811127754536,-123.14014647154274,1110 Denman St.,144,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,BeerYani,5e2e693517ff6400083267ca,Indian Restaurant,49.287323795522965,-123.141214737137,1184 Denman St,102,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,The Flat Log,5410886e498e36d35acd4df0,Castle,49.28718985118836,-123.14290676730845,,108,Other
Morton & Denman,3,49.28803,-123.142135,0,Nat's Pizzeria,4aada3cff964a5201d6120e3,Pizzeria,49.288600189166,-123.14010720315056,1080 Denman Street,160,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Ginger Garlic,4e98e72d55033ea8ab83cddd,Indian Restaurant,49.28654668891995,-123.1409859692496,Davie,184,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Quick Nickle,4bc9212d511f95212446adc7,Clothing Store,49.28701496571863,-123.14175613005976,1778 Davie St,116,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Gilaneh Grill House,5b4e9f756bd36b002cebafb8,Persian Restaurant,49.28846125858059,-123.13977082554014,1072 Denman Street,177,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Gelarmony,4b91e457f964a520fbdd33e3,"Ice Cream Parlor, Café",49.28811127754536,-123.14014647154274,1094 Denman St.,144,Other
Morton & Denman,3,49.28803,-123.142135,0,Red Umbrella Cafe,4b197914f964a520f8dd23e3,Café,49.28628945292532,-123.14032442706474,1707 Davie Street,233,Other
Morton & Denman,3,49.28803,-123.142135,0,JJ Bean,531f860e498e932bf3c1ecfb,Coffee Shop,49.28621733809335,-123.14055218135702,1209 Bidwell Street,231,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Brandon & Joanny's No Frills,4b54a00bf964a52071c327e3,"Grocery Store, Bakery, Farmers Market",49.28869059393502,-123.13914299011232,1030 Denman St,228,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Tre Viet,65399e06761cc615da851ec2,Vietnamese Restaurant,49.288018636873446,-123.14021966181625,,138,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Eye Kandee Lingerie,51076a5f164846261ad38fe0,Lingerie Store,49.2860887185986,-123.1398111036676,1685 Davie Street,273,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Slide,4c09c2a7009a0f477a6be8bf,Beach,49.286695806467606,-123.14270222401818,English Bay,153,Other
Morton & Denman,3,49.28803,-123.142135,0,Cacao 70,586ac763ca10703aaa9ac903,Dessert Shop,49.28900164709903,-123.1394925956488,1047 Denman St,219,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Shi Zen Ya,5b65160ac03635002c2ce08c,Sushi Restaurant,49.28865679911432,-123.14011204918924,1059 Denman St,162,Restaurants & Bars
Morton & Denman,3,49.28803,-123.142135,0,Dollarama,5232582411d28a78f78f1a91,Discount Store,49.28840470215592,-123.13887364934192,"1779 Comox St, Denman Place Mall",240,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Bella Gelateria,6326a443605f426e5abe3188,Gelato Shop,49.286551818365325,-123.14122976443043,,176,Banks & Shops
Morton & Denman,3,49.28803,-123.142135,0,Mumu Kitchen,5fdebd5fcf5851777258981b,Fried Chicken Joint,49.28647462644004,-123.1411420372559,1738 Davie St,187,Other
Thornton & National,4,49.273777,-123.092723,14,Trillium Park,4d9fad3083f0b1f7b0ae9fc7,"Park, Soccer Field",49.27430916113774,-123.0935399786324,National Ave,83,Landmarks & Museums
Thornton & National,4,49.273777,-123.092723,14,Coastal Ford Vancouver,4bb2137df964a520e8b63ce3,Car Dealership,49.27228014331606,-123.09206953240668,530 Evans Ave,172,Other
Thornton & National,4,49.273777,-123.092723,14,Urban Home Outlet,51c5f572498e5479a24f360f,Furniture and Home Store,49.27206968202056,-123.0936741349246,,201,Banks & Shops
Thornton & National,4,49.273777,-123.092723,14,To Dine For,4f68d5dee4b0bb1b18b8af39,Burger Joint,49.27234337257349,-123.09588773855128,333 Terminal Avenue,279,Other
Thornton & National,4,49.273777,-123.092723,14,national works yard,4faab92ee4b08e1c17c85165,Capitol Building,49.27326772285708,-123.08980078835602,701 National Ave,219,Other
Thornton & National,4,49.273777,-123.092723,14,Java Express,4c1a7620b4e62d7f89d8d793,Café,49.27214727916589,-123.09465421612184,373 Terminal Avenue,228,Other
Thornton & National,4,49.273777,-123.092723,14,Patisserie Lebeau,0c3694b6edba428315440563,"Bakery, Dessert Shop",49.272160903463146,-123.09003127076298,656 Evans Ave,265,Restaurants & Bars
Thornton & National,4,49.273777,-123.092723,14,Uniserve Communications,4e406fab62e17b948c1d5772,Mobile Phone Store,49.272379382871456,-123.0958096768282,Suite 330 - 333 Terminal Avenue,272,Banks & Shops
Burrard & 14th,5,49.259469,-123.145718,18,The Local Churn,07d8f66f21a24cfb37f2269d,,49.25974303064413,-123.14485545575948,1750 13th Ave W,69,Other
Burrard & 14th,5,49.259469,-123.145718,18,Forte,638bf2c9affe66573701b486,Structure,49.25924876423006,-123.1446509729365,1755 W 14th,81,Other
Burrard & 14th,5,49.259469,-123.145718,18,Mont Charles,4d8ccaf53bfef04dc38b7186,,49.26023729228876,-123.14505994085444,1777 West 13th Ave,97,Other
Burrard & 14th,5,49.259469,-123.145718,18,Janzen Residence,4ea9b1584fc6d0cb8ba52f92,,49.25928472695998,-123.14724888062956,,112,Other
Burrard & 14th,5,49.259469,-123.145718,18,Nutrawise Enterprises Ltd,846dc545526a4dbcab96eee7,"Grocery Store, Health Food Store",49.258888282576905,-123.1472149370764,1846 14th Ave W,126,Restaurants & Bars
Burrard & 14th,5,49.259469,-123.145718,18,mi casa es su casa,4ff510f0e4b0a7f73fb4193e,Lounge,49.25835800254198,-123.14619648948224,,128,Other
Burrard & 14th,5,49.259469,-123.145718,18,Rape Crisis Centre-Women Against Violence Agains t Wo,dec2454e88954b000595eefc,,49.26066457436337,-123.14655613315688,1826 12th Ave W,146,Other
Burrard & 14th,5,49.259469,-123.145718,18,Granville Park,4c7e9351e4b06dcb2e8444d7,Park,49.25883687988866,-123.14388592238032,,150,Landmarks & Museums
Burrard & 14th,5,49.259469,-123.145718,18,Temple Of Trouble,4f7b3febe4b0be463900a8f5,Structure,49.26052048333635,-123.14419218810492,,160,Other
Burrard & 14th,5,49.259469,-123.145718,18,Brendan and Terry's,4da14068bf22a143e82e98f8,,49.261153743030135,-123.14473293291944,55 East Cordva,200,Other
Burrard & 14th,5,49.259469,-123.145718,18,Fit4real,5d5cf12cf6fe454a0575f02a,Sports and Recreation,49.260196136052215,-123.14311025400966,1685 13th Ave W,205,Other
Burrard & 14th,5,49.259469,-123.145718,18,Bears,4c983a24671db60c3fe8b7f6,Zoo Exhibit,49.261044,-123.147481,1875 west 13th,216,Other
Burrard & 14th,5,49.259469,-123.145718,18,The Nerd Cave,4d994d8c2bd6f04dfc397c50,Arts and Entertainment,49.25789465759003,-123.14388637808877,,219,Other
Burrard & 14th,5,49.259469,-123.145718,18,WeightWatchers,ce28576bb2ccff84e1150ab2,,49.25748269987015,-123.1466891647184,1825 16th Ave W,231,Other
Burrard & 14th,5,49.259469,-123.145718,18,Canadian Memorial Church & Centre for Peace,4c1a5dd2624b9c74156a1204,Church,49.25748269987015,-123.1466891647184,1825 W. 16th Ave,231,Other
Burrard & 14th,5,49.259469,-123.145718,18,Christian Science Churches & Societies,23ddd2df50b3458a6b876136,Church,49.26076230231333,-123.148510642825,1900 12th Ave W,248,Other
Burrard & 14th,5,49.259469,-123.145718,18,Susan Edwards Voice and Piano Instruction,ff7208c99e404f54044abd55,,49.2574569370993,-123.14725456191012,1811 16th Ave W,249,Other
Burrard & 14th,5,49.259469,-123.145718,18,Virginia House,cf983c9d8358414783d9049f,Hospital,49.26164285153615,-123.1446937068311,1754 11th Ave W,252,Other
Burrard & 14th,5,49.259469,-123.145718,18,Wines & Things,e703ed7aa1cd4ca13207bd62,Wine Store,49.25740030070678,-123.14724971291776,1849 16th Ave W,255,Banks & Shops
Burrard & 14th,5,49.259469,-123.145718,18,She Ain't E N O It: A Sex Club,54f2b33b498ee77ce444c6b4,Beach Bar,49.26102505881081,-123.14310009635268,,256,Restaurants & Bars
Burrard & 14th,5,49.259469,-123.145718,18,Granville Park Playground,4e7a6bd289988fdf771071a6,Playground,49.25796674455693,-123.14283840077408,,267,Other
Burrard & 14th,5,49.259469,-123.145718,18,swoods Lounge,4cd62120dfb4a1cd0a9d5d5c,,49.258821243019945,-123.14939854466782,1946 west 14th ave,276,Other
Burrard & 14th,5,49.259469,-123.145718,18,Rooms And Spaces,64fe4937047b9959c4ce6218,Furniture and Home Store,49.261967,-123.1454,1740 W Broadway,278,Banks & Shops
Burrard & 14th,5,49.259469,-123.145718,18,Woodwards Building Penthouse II,4f0e573ae4b0a8783e4bf72d,,49.256936925535285,-123.14672352750816,,290,Other
